,lastReportTime,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Sequence,Temp(¢J),wind direction,wind speed(m/s),Rainfall(mm)
1441,2020-08-30 01:00:00,3.0,2.0,4.5,1.0,59.9695833333334,2557.796875,32484.691666666655,27965.281250000004,0.0,1.0,1511,29.2,78,3.7,0
1442,2020-08-30 02:00:00,3.0,2.0,4.483870967741935,1.0,59.98172043010749,2754.559139784946,32369.738709677415,27305.617204301074,0.0,1.0,1510,28.9,81,3.2,0
1443,2020-08-30 03:00:00,3.0,2.0,4.494623655913978,1.0,59.981612903225745,2872.8817204301076,32953.29677419356,27618.88064516129,0.0,1.0,1509,28.6,82,2.5,0
1444,2020-08-30 04:00:00,3.0,2.0,4.413043478260869,1.0,59.97043478260864,2854.8260869565215,32279.62065217392,27355.81086956523,0.0,1.0,1508,28.5,83,2.1,0
1445,2020-08-30 05:00:00,3.0,2.0,4.528735632183908,1.0,59.988275862068974,2891.022988505747,32623.454022988517,28250.245977011495,0.0,1.0,1507,28.4,83,1.6,0
1446,2020-08-30 06:00:00,3.0,2.0,4.484210526315789,1.0,60.021789473684265,5092.115789473684,32747.298947368425,27611.60631578947,0.0,1.0,1506,28.3,82,2.0,0
1447,2020-08-30 07:00:00,3.0,2.0,4.457446808510638,1.0,59.9865957446809,2451.813829787234,32493.25638297873,27620.304255319144,2.0,1.0,1505,29.2,76,1.1,0
1448,2020-08-30 08:00:00,3.0,2.0,4.526315789473684,1.0,60.02210526315792,2357.357894736842,32622.82631578947,28232.16000000001,2.0,1.0,1504,31.0,59,1.7,0
1449,2020-08-30 09:00:00,3.0,2.0,4.4787234042553195,1.0,60.01510638297877,914.5744680851063,32351.88723404256,27997.94361702128,2.0,1.0,1503,33.0,46,2.6,0
1450,2020-08-30 10:00:00,3.0,2.0,4.404761904761905,1.0,59.973452380952374,265.48214285714283,32273.841666666656,27305.10357142856,2.0,1.0,1502,33.3,49,1.9,0
1451,2020-08-30 11:00:00,3.0,2.0,4.440860215053763,1.0,59.9898924731183,224.8709677419355,32559.90967741935,27359.890322580653,2.0,1.0,1501,34.0,46,2.7,0
