,lastReportTime,p_sum,weekend,session,ae_tot,Temp(¢J)
1733,2020-09-11 05:00:00,130406.67435570924,0,0,503770.2349999999,26.3
1734,2020-09-11 06:00:00,127769.96408349555,0,0,503421.64237288147,26.2
1735,2020-09-11 07:00:00,119284.42949624374,0,2,487915.0083333332,26.9
1736,2020-09-11 08:00:00,106871.82127847281,0,2,504219.0981818182,27.5
1737,2020-09-11 09:00:00,94326.8303693819,0,2,504351.90666666656,28.6
1738,2020-09-11 10:00:00,87530.03794513947,0,2,504050.91578947357,31.2
1739,2020-09-11 11:00:00,75395.30255552908,0,2,504539.5833333332,31.9
1740,2020-09-11 12:00:00,62679.03556652745,0,2,504591.3950000001,34.3
1741,2020-09-11 13:00:00,49626.86132545481,0,3,504619.8550000002,35.2
1742,2020-09-11 14:00:00,37060.73514740639,0,3,504635.58666666655,33.7
1743,2020-09-11 15:00:00,26307.701176114522,0,3,504650.3616666666,31.8
1744,2020-09-11 16:00:00,18670.680043738135,0,3,500783.0892857143,32.6
1745,2020-09-11 17:00:00,14046.968799718998,0,3,505083.7965517242,32.4
1746,2020-09-11 18:00:00,11623.715769415965,0,3,501403.41355932225,31.8
1747,2020-09-11 19:00:00,17290.468799718998,0,4,504696.2016666667,30.8
1748,2020-09-11 20:00:00,29333.026099994477,0,4,504704.32,30.3
1749,2020-09-11 21:00:00,41678.93216060053,0,4,504712.2883333335,29.6
1750,2020-09-11 22:00:00,53749.473020164696,0,4,504720.1750000001,29.1
1751,2020-09-11 23:00:00,59089.587492474,0,4,504733.64666666655,28.9
1752,2020-09-12 00:00:00,69235.63446081936,1,1,504769.5516666667,26.9
1753,2020-09-12 01:00:00,81440.62441297247,1,0,504889.9,28.4
1754,2020-09-12 02:00:00,93256.32751626227,1,0,505035.5616666668,27.9
1755,2020-09-12 03:00:00,103840.61156729895,1,0,504684.88474576257,27.7
1756,2020-09-12 04:00:00,111075.88451930707,1,0,505295.5899999999,27.4
1757,2020-09-12 05:00:00,114232.01179203435,1,0,504855.7649999998,27.4
1758,2020-09-12 06:00:00,110710.75270112525,1,0,493865.72999999975,27.4
1759,2020-09-12 07:00:00,100566.39691600131,1,2,513692.2169491525,27.8
1760,2020-09-12 08:00:00,89915.51408771846,1,2,505791.0183333334,29.6
1761,2020-09-12 09:00:00,77310.30174733626,1,2,505899.16363636346,30.9
1762,2020-09-12 10:00:00,71435.54475033024,1,2,505965.6283333334,32.0
1763,2020-09-12 11:00:00,61057.5510696207,1,2,506011.0433333333,32.5
1764,2020-09-12 12:00:00,48758.93591810555,1,2,497122.9150000001,31.5
1765,2020-09-12 13:00:00,36773.76618810989,1,3,506084.41,31.8
1766,2020-09-12 14:00:00,26213.021879166816,1,3,489906.0758620689,31.7
1767,2020-09-12 15:00:00,18494.8785872526,1,3,498149.86610169493,29.5
1768,2020-09-12 16:00:00,14319.926185183122,1,3,506117.39166666655,29.0
1769,2020-09-12 17:00:00,11303.600871066345,1,3,506123.475,28.3
1770,2020-09-12 18:00:00,8937.136233161877,1,3,506129.8327272728,28.0
1771,2020-09-12 19:00:00,8983.189836996838,1,4,506137.1266666666,26.8
1772,2020-09-12 20:00:00,12909.929141939896,1,4,505646.24237288116,27.0
1773,2020-09-12 21:00:00,16923.029404939185,1,4,506151.52000000025,26.8
1774,2020-09-12 22:00:00,21271.568540194177,1,4,506158.13000000006,26.8
1775,2020-09-12 23:00:00,25411.512941837733,1,4,505668.7118644068,27.0
1776,2020-09-13 00:00:00,29393.08020650211,1,1,505685.2237288135,26.9
1777,2020-09-13 01:00:00,33879.52754574823,1,0,493873.5661016946,27.0
1778,2020-09-13 02:00:00,38151.300141486514,1,0,484615.1314814814,27.1
1779,2020-09-13 03:00:00,42412.01617991962,1,0,506331.61,26.6
1780,2020-09-13 04:00:00,46594.18694858185,1,0,514427.9169491525,26.5
1781,2020-09-13 05:00:00,49138.41673800148,1,0,495255.5112903225,26.4
1782,2020-09-13 06:00:00,49081.094171815734,1,0,506491.17999999976,26.4
1783,2020-09-13 07:00:00,47255.99507063443,1,2,503265.7084745764,26.6
1784,2020-09-13 08:00:00,43688.913995881296,1,2,506602.235,27.0
1785,2020-09-13 09:00:00,39536.537945461125,1,2,506655.4533333333,27.3
1786,2020-09-13 10:00:00,35528.02383411552,1,2,506700.64833333343,27.6
1787,2020-09-13 11:00:00,31708.07561664671,1,2,506733.6254545455,26.6
1788,2020-09-13 12:00:00,27167.092830805097,1,2,497837.1550000001,26.4
1789,2020-09-13 13:00:00,23068.972343565518,1,3,506784.6716666668,29.9
1790,2020-09-13 14:00:00,19050.025218765186,1,3,490493.44666666654,30.3
1791,2020-09-13 15:00:00,14927.834411533206,1,3,506800.2366666668,29.6
1792,2020-09-13 16:00:00,12178.287599156483,1,3,502008.11166666687,29.7
1793,2020-09-13 17:00:00,9822.855753253813,1,3,506814.09833333344,29.3
1794,2020-09-13 18:00:00,8832.591412294008,1,3,506820.80666666647,28.5
1795,2020-09-13 19:00:00,15487.692831736977,1,4,506827.441818182,27.8
1796,2020-09-13 20:00:00,26682.717367005625,1,4,506834.81000000006,27.7
1797,2020-09-13 21:00:00,41006.87344034405,1,4,506352.6322033898,27.6
1798,2020-09-13 22:00:00,54076.86788277433,1,4,494486.4186440679,27.6
1799,2020-09-13 23:00:00,60692.020227844594,1,4,489790.4033898307,27.2
1800,2020-09-14 00:00:00,73159.33606690749,0,1,510619.6508474575,28.3
1801,2020-09-14 01:00:00,85893.56046443508,0,0,507022.2983333332,26.8
1802,2020-09-14 02:00:00,99436.31945348524,0,0,507171.475,26.6
1803,2020-09-14 03:00:00,111692.7720696627,0,0,506853.0999999999,26.6
1804,2020-09-14 04:00:00,122442.59661528989,0,0,507449.67272727273,26.6
1805,2020-09-14 05:00:00,127702.00944109817,0,0,507555.975,26.4
1806,2020-09-14 06:00:00,124742.4774498885,0,0,507703.4483333333,26.3
1807,2020-09-14 07:00:00,116876.24081077003,0,2,507857.62000000005,26.6
1808,2020-09-14 08:00:00,103066.71202289127,0,2,504730.701694915,28.9
1809,2020-09-14 09:00:00,90113.56789583187,0,2,508151.2933333333,30.7
1810,2020-09-14 10:00:00,83556.06967365676,0,2,508249.3650000001,31.1
1811,2020-09-14 11:00:00,70877.82060093226,0,2,504712.8360655737,33.8
1812,2020-09-14 12:00:00,58027.37907759075,0,2,508361.1181818185,31.0
1813,2020-09-14 13:00:00,44417.13218979387,0,3,508387.67999999993,32.0
1814,2020-09-14 14:00:00,32205.29383071059,0,3,508398.1123076922,33.0
1815,2020-09-14 15:00:00,21413.857575033424,0,3,516480.4711864407,33.0
1816,2020-09-14 16:00:00,15176.47294871359,0,3,500372.36271186423,32.5
1817,2020-09-14 17:00:00,11128.525902242924,0,3,487777.4983333333,31.3
1818,2020-09-14 18:00:00,9109.097971160141,0,3,508428.4533333334,30.0
1819,2020-09-14 19:00:00,16738.375243887414,0,4,508435.78166666656,29.7
1820,2020-09-14 20:00:00,31716.217085379252,0,4,500350.4345454545,29.4
