,lastReportTime,p_sum,weekend,session,ae_tot,Temp(¢J)
189,2020-08-15 09:00:00,14716.585609896736,1,2,576285.7916666667,31.5
190,2020-08-15 10:00:00,14194.78924506561,1,2,576299.2699999999,33.1
191,2020-08-15 11:00:00,13203.786797106459,1,2,576313.5316666667,33.5
192,2020-08-15 12:00:00,11919.357730168374,1,2,576328.7883333333,34.6
193,2020-08-15 13:00:00,10714.764939892048,1,3,576344.2048484847,32.5
194,2020-08-15 14:00:00,10292.546343576112,1,3,576360.3750000001,33.0
195,2020-08-15 15:00:00,10135.24494351255,1,3,576376.4850000001,34.6
196,2020-08-15 16:00:00,10208.298536564978,1,3,576392.3633333333,32.4
197,2020-08-15 17:00:00,10540.754448093743,1,3,576408.0327272727,29.3
198,2020-08-15 18:00:00,10891.786265534774,1,3,576424.2966666667,29.0
199,2020-08-15 19:00:00,11285.374196559196,1,4,576442.8350000001,28.7
200,2020-08-15 20:00:00,11679.632995352209,1,4,576461.9998484848,28.8
201,2020-08-15 21:00:00,12311.523968697515,1,4,576482.1783333332,28.7
202,2020-08-15 22:00:00,12854.026752311775,1,4,576503.4133333333,28.4
203,2020-08-15 23:00:00,13780.150613418995,1,4,576523.9733333333,28.7
204,2020-08-16 00:00:00,14704.127711684001,1,1,576542.8783333333,29.7
205,2020-08-16 01:00:00,15266.391853862446,1,0,576559.885,27.6
206,2020-08-16 02:00:00,15700.402942516987,1,0,576575.0181818182,27.4
207,2020-08-16 03:00:00,16252.344547275223,1,0,576590.785,27.1
208,2020-08-16 04:00:00,16711.388191305836,1,0,576608.1783333332,26.8
209,2020-08-16 05:00:00,16974.579571929527,1,0,576626.7357575757,26.7
210,2020-08-16 06:00:00,16999.025490044,1,0,576644.3433333334,26.6
211,2020-08-16 07:00:00,16750.171124712622,1,2,576661.5916666667,27.2
212,2020-08-16 08:00:00,16131.112029081287,1,2,576680.25,29.2
213,2020-08-16 09:00:00,15691.332370788028,1,2,576698.4283333335,30.9
214,2020-08-16 10:00:00,15089.26260105682,1,2,576716.1583333334,33.1
215,2020-08-16 11:00:00,14606.388532559831,1,2,576732.2454545455,33.0
216,2020-08-16 12:00:00,14026.347333930218,1,2,576742.8683333334,33.8
217,2020-08-16 13:00:00,13527.118982683765,1,3,576753.4957575757,33.4
218,2020-08-16 14:00:00,12866.875817808808,1,3,576764.645,34.4
219,2020-08-16 15:00:00,13001.927766049143,1,3,567439.135,34.3
220,2020-08-16 16:00:00,15192.386616842085,1,3,576789.7283333333,32.7
221,2020-08-16 17:00:00,17347.57997389453,1,3,576802.7746969697,29.3
222,2020-08-16 18:00:00,21161.788622330452,1,3,576815.4349999999,30.0
223,2020-08-16 19:00:00,27713.404738032932,1,4,576829.2783333333,30.4
224,2020-08-16 20:00:00,36686.97291985111,1,4,576843.7927272727,30.0
225,2020-08-16 21:00:00,46572.864586517775,1,4,576876.8616666666,30.0
226,2020-08-16 22:00:00,56715.0032228814,1,4,576915.1216666667,30.0
227,2020-08-16 23:00:00,64392.39131233206,1,4,576957.4324242424,30.0
228,2020-08-17 00:00:00,74814.38576944235,0,1,577024.9296969697,29.7
229,2020-08-17 01:00:00,88531.203275128,0,0,577124.34,29.4
230,2020-08-17 02:00:00,99797.9585399449,0,0,577242.0716666665,29.4
231,2020-08-17 03:00:00,109339.04958677685,0,0,577368.0516666665,28.9
232,2020-08-17 04:00:00,117470.38443526169,0,0,577480.4716666668,28.7
233,2020-08-17 05:00:00,120942.91363636362,0,0,577580.5854545453,28.5
234,2020-08-17 06:00:00,119449.655922865,0,0,577725.1553030304,28.3
235,2020-08-17 07:00:00,113408.72865013774,0,2,553129.6533333332,29.2
236,2020-08-17 08:00:00,105501.63168044074,0,2,578027.385,31.5
237,2020-08-17 09:00:00,96443.57603305782,0,2,578163.3583333333,31.0
238,2020-08-17 10:00:00,89653.09655647381,0,2,578275.3799999999,32.5
239,2020-08-17 11:00:00,79532.36019283746,0,2,578354.45,33.6
240,2020-08-17 12:00:00,66042.0373278237,0,2,578408.6583333333,33.3
241,2020-08-17 13:00:00,54117.06659779613,0,3,578449.0349999999,34.8
242,2020-08-17 14:00:00,42189.77021147301,0,3,578477.3727272728,34.8
243,2020-08-17 15:00:00,32551.8444214876,0,3,578499.6824242424,32.9
244,2020-08-17 16:00:00,28071.79552341597,0,3,578517.6266666666,31.8
245,2020-08-17 17:00:00,25748.31067493113,0,3,578532.3266666668,32.1
246,2020-08-17 18:00:00,26584.218663911837,0,3,578545.4866666666,31.2
247,2020-08-17 19:00:00,32088.206542699718,0,4,578558.8916666668,30.6
248,2020-08-17 20:00:00,42496.85006887051,0,4,578574.2133333335,30.4
249,2020-08-17 21:00:00,52844.753787878784,0,4,578606.7237878789,30.2
250,2020-08-17 22:00:00,63715.583677685936,0,4,578646.5583333332,30.0
